competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Brasileirao,2017,1,Maracanã,mandante,FLUMINENSE - RJ,pro,Henrique Dourado,3' (1ºT),3.0
Brasileirao,2017,1,Maracanã,visitante,SANTOS - SP,pro,Victor Ferraz,38' (1ºT),38.0
Brasileirao,2017,1,Maracanã,mandante,FLUMINENSE - RJ,pro,Henrique Dourado,45+3' (1ºT),45.5
Brasileirao,2017,1,Maracanã,mandante,FLUMINENSE - RJ,pro,Sornoza,12' (2ºT),57.0
Brasileirao,2017,1,Maracanã,visitante,SANTOS - SP,pro,Vladimir Hernandez,42' (2ºT),87.0
Brasileirao,2017,2,Maracanã,mandante,FLAMENGO - RJ,pro,Matheus Savio,23' (1ºT),23.0
Brasileirao,2017,2,Maracanã,visitante,ATLETICO - MG,pro,Elias,13' (2ºT),58.0
Brasileirao,2017,3,Allianz Parque,mandante,PALMEIRAS - SP,pro,Jean,6' (1ºT),6.0
Brasileirao,2017,3,Allianz Parque,mandante,PALMEIRAS - SP,pro,Guerra,40' (1ºT),40.0
Brasileirao,2017,3,Allianz Parque,mandante,PALMEIRAS - SP,pro,Borja,1' (2ºT),46.0
Brasileirao,2017,3,Allianz Parque,mandante,PALMEIRAS - SP,pro,Borja,34' (2ºT),79.0
Brasileirao,2017,4,Arena Corinthians,mandante,CORINTHIANS - SP,pro,Jo,21' (1ºT),21.0
Brasileirao,2017,4,Arena Corinthians,visitante,CHAPECOENSE - SC,pro,Wellington Paulista,11' (2ºT),56.0
Brasileirao,2017,5,Mineirão,mandante,CRUZEIRO - MG,pro,Ábila,2' (2ºT),47.0
Brasileirao,2017,6,Couto Pereira,mandante,CORITIBA - PR,pro,H. Almeida,31' (1ºT),31.0
Brasileirao,2017,6,Couto Pereira,mandante,CORITIBA - PR,pro,Neto Berola,35' (1ºT),35.0
Brasileirao,2017,6,Couto Pereira,visitante,ATLETICO - GO,pro,Walter,17' (2ºT),62.0
Brasileirao,2017,6,Couto Pereira,mandante,CORITIBA - PR,pro,Tomas Bastos,21' (2ºT),66.0
Brasileirao,2017,6,Couto Pereira,mandante,CORITIBA - PR,pro,Tomas Bastos,25' (2ºT),70.0
Brasileirao,2017,7,Arena do Grêmio,mandante,GREMIO - RS,pro,Ramiro,45' (1ºT),45.0
Brasileirao,2017,7,Arena do Grêmio,mandante,GREMIO - RS,pro,Ramiro,9' (2ºT),54.0
Brasileirao,2017,8,Arena Fonte Nova,visitante,ATLETICO - PR,pro,Guilherme,14' (1ºT),14.0
Brasileirao,2017,8,Arena Fonte Nova,mandante,BAHIA - BA,pro,Tiago,33' (1ºT),33.0
Brasileirao,2017,8,Arena Fonte Nova,visitante,ATLETICO - PR,pro,Marcos,37' (1ºT),37.0
Brasileirao,2017,8,Arena Fonte Nova,mandante,BAHIA - BA,pro,Ze Rafael,40' (1ºT),40.0
Brasileirao,2017,8,Arena Fonte Nova,mandante,BAHIA - BA,pro,Regis,42' (1ºT),42.0
Brasileirao,2017,8,Arena Fonte Nova,mandante,BAHIA - BA,pro,Edigar Junio,43' (1ºT),43.0
Brasileirao,2017,8,Arena Fonte Nova,mandante,BAHIA - BA,pro,Regis,45+1' (1ºT),45.5
Brasileirao,2017,8,Arena Fonte Nova,mandante,BAHIA - BA,pro,Edson Felipe,26' (2ºT),71.0
Brasileirao,2017,9,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Lucca,39' (1ºT),39.0
Brasileirao,2017,9,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Nino Paraiba,44' (1ºT),44.0
Brasileirao,2017,9,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Clayson,27' (2ºT),72.0
Brasileirao,2017,9,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Clayson,45+2' (2ºT),90.5
Brasileirao,2017,11,Nilton Santos,mandante,BOTAFOGO - RJ,pro,Bruno Silva,20' (1ºT),20.0
Brasileirao,2017,11,Nilton Santos,mandante,BOTAFOGO - RJ,pro,Rodrigo,20' (2ºT),65.0
Brasileirao,2017,12,São Januário,mandante,VASCO DA GAMA - RJ,pro,Yago,8' (2ºT),53.0
Brasileirao,2017,12,São Januário,mandante,VASCO DA GAMA - RJ,pro,Luis Fabiano,30' (2ºT),75.0
Brasileirao,2017,12,São Januário,visitante,BAHIA - BA,pro,Gustavo,37' (2ºT),82.0
Brasileirao,2017,13,Vila Belmiro,mandante,SANTOS - SP,pro,David Braz,7' (1ºT),7.0
Brasileirao,2017,14,Morumbi,mandante,SAO PAULO - SP,pro,Lucas Pratto,11' (1ºT),11.0
Brasileirao,2017,14,Morumbi,mandante,SAO PAULO - SP,pro,Luiz,45' (2ºT),90.0
Brasileirao,2017,15,Independência,visitante,FLUMINENSE - RJ,pro,Henrique Dourado,36' (1ºT),36.0
Brasileirao,2017,15,Independência,visitante,FLUMINENSE - RJ,pro,Richarlison,38' (1ºT),38.0
Brasileirao,2017,15,Independência,mandante,ATLETICO - MG,pro,Gabriel Costa Franca,40' (1ºT),40.0
Brasileirao,2017,16,Arena da Baixada,visitante,GREMIO - RS,pro,Luan,1' (2ºT),46.0
Brasileirao,2017,16,Arena da Baixada,visitante,GREMIO - RS,pro,Lucas Barrios,13' (2ºT),58.0
Brasileirao,2017,17,Ilha do Retiro,visitante,CRUZEIRO - MG,pro,Alisson,19' (1ºT),19.0
Brasileirao,2017,17,Ilha do Retiro,mandante,SPORT - PE,pro,Diego Souza,33' (1ºT),33.0
Brasileirao,2017,18,Arena Fonte Nova,visitante,CORINTHIANS - SP,pro,Jo,29' (2ºT),74.0
Brasileirao,2017,19,Serra Dourada,visitante,FLAMENGO - RJ,pro,Everton,40' (1ºT),40.0
Brasileirao,2017,19,Serra Dourada,visitante,FLAMENGO - RJ,pro,Leandro Damiao,5' (2ºT),50.0
Brasileirao,2017,19,Serra Dourada,visitante,FLAMENGO - RJ,pro,Rodinei,20' (2ºT),65.0
Brasileirao,2017,20,Arena Condá,mandante,CHAPECOENSE - SC,pro,Luiz Antonio,27' (2ºT),72.0
