competicao,temporada,id_partida,estadio,cidade,uf,dia_semana,data,hora,mandante,visitante,mand_placar,visit_placar,vencedor_regular,disputa_penaltis,mand_penaltis,visit_penaltis,vencedor_penaltis
Brasileirao,2018,1,Mineirão,Belo Horizonte,MG,Sábado,2018-04-14,16:00:00,CRUZEIRO - MG,GREMIO - RS,0,1,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,4,Manoel Barradas,Salvador,BA,Sábado,2018-04-14,19:00:00,VITORIA - BA,FLAMENGO - RJ,2,2,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,8,Pacaembu,Sao Paulo,SP,Sábado,2018-04-14,21:00:00,SANTOS - SP,CEARA - CE,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,2,Arena da Baixada,Curitiba,PR,Domingo,2018-04-15,19:00:00,ATLETICO - PR,CHAPECOENSE - SC,5,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,3,Independência,Belo Horizonte,MG,Domingo,2018-04-15,11:00:00,AMERICA - MG,SPORT - PE,3,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,5,São Januário,Rio de Janeiro,RJ,Domingo,2018-04-15,16:00:00,VASCO DA GAMA - RJ,ATLETICO - MG,2,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,9,Arena Corinthians,Sao Paulo,SP,Domingo,2018-04-15,16:00:00,CORINTHIANS - SP,FLUMINENSE - RJ,2,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,10,Beira-Rio,Porto Alegre,RS,Domingo,2018-04-15,16:00:00,INTERNACIONAL - RS,BAHIA - BA,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,6,Nilton Santos,Rio de Janeiro,RJ,Segunda,2018-04-16,20:00:00,BOTAFOGO - RJ,PALMEIRAS - SP,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,7,Morumbi,Sao Paulo,SP,Segunda,2018-04-16,20:00:00,SAO PAULO - SP,PARANA - PR,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,14,Arena Fonte Nova,Salvador,BA,Sábado,2018-04-21,16:00:00,BAHIA - BA,SANTOS - SP,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,16,Maracanã,Rio de Janeiro,RJ,Sábado,2018-04-21,19:00:00,FLAMENGO - RJ,AMERICA - MG,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,11,Independência,Belo Horizonte,MG,Domingo,2018-04-22,16:00:00,ATLETICO - MG,VITORIA - BA,2,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,12,Durival Britto,Curitiba,PR,Domingo,2018-04-22,11:00:00,PARANA - PR,CORINTHIANS - SP,0,4,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,13,Arena Condá,Chapeco,SC,Domingo,2018-04-22,16:00:00,CHAPECOENSE - SC,VASCO DA GAMA - RJ,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,15,Maracanã,Rio de Janeiro,RJ,Domingo,2018-04-22,16:00:00,FLUMINENSE - RJ,CRUZEIRO - MG,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,17,Arena Castelão,Fortaleza,CE,Domingo,2018-04-22,16:00:00,CEARA - CE,SAO PAULO - SP,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,19,Pacaembu,Sao Paulo,SP,Domingo,2018-04-22,16:00:00,PALMEIRAS - SP,INTERNACIONAL - RS,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,20,Arena do Grêmio,Porto Alegre,RS,Domingo,2018-04-22,19:00:00,GREMIO - RS,ATLETICO - PR,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,18,Ilha do Retiro,Recife,PE,Segunda,2018-04-23,20:00:00,SPORT - PE,BOTAFOGO - RJ,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,26,Nilton Santos,Rio de Janeiro,RJ,Sábado,2018-04-28,16:00:00,BOTAFOGO - RJ,GREMIO - RS,2,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,21,Independência,Belo Horizonte,MG,Domingo,2018-04-29,16:00:00,ATLETICO - MG,CORINTHIANS - SP,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,22,Durival Britto,Curitiba,PR,Domingo,2018-04-29,16:00:00,PARANA - PR,SPORT - PE,1,2,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,24,Arena Fonte Nova,Salvador,BA,Domingo,2018-04-29,16:00:00,BAHIA - BA,ATLETICO - PR,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,25,Maracanã,Rio de Janeiro,RJ,Domingo,2018-04-29,16:00:00,FLUMINENSE - RJ,SAO PAULO - SP,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,27,Arena Castelão,Fortaleza,CE,Domingo,2018-04-29,16:00:00,CEARA - CE,FLAMENGO - RJ,0,3,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,29,Allianz Parque,Sao Paulo,SP,Domingo,2018-04-29,16:00:00,PALMEIRAS - SP,CHAPECOENSE - SC,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,30,Beira-Rio,Porto Alegre,RS,Domingo,2018-04-29,19:00:00,INTERNACIONAL - RS,CRUZEIRO - MG,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,23,Independência,Belo Horizonte,MG,Segunda,2018-04-30,20:00:00,AMERICA - MG,VITORIA - BA,2,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,35,São Januário,Rio de Janeiro,RJ,Sábado,2018-05-05,19:00:00,VASCO DA GAMA - RJ,AMERICA - MG,4,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,37,Morumbi,Sao Paulo,SP,Sábado,2018-05-05,19:00:00,SAO PAULO - SP,ATLETICO - MG,2,2,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,31,Mineirão,Belo Horizonte,MG,Domingo,2018-05-06,16:00:00,CRUZEIRO - MG,BOTAFOGO - RJ,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,32,Arena da Baixada,Curitiba,PR,Domingo,2018-05-06,16:00:00,ATLETICO - PR,PALMEIRAS - SP,1,3,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,34,Manoel Barradas,Salvador,BA,Domingo,2018-05-06,16:00:00,VITORIA - BA,FLUMINENSE - RJ,1,2,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,36,Maracanã,Rio de Janeiro,RJ,Domingo,2018-05-06,16:00:00,FLAMENGO - RJ,INTERNACIONAL - RS,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,38,Ilha do Retiro,Recife,PE,Domingo,2018-05-06,19:00:00,SPORT - PE,BAHIA - BA,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,39,Arena Corinthians,Sao Paulo,SP,Domingo,2018-05-06,11:00:00,CORINTHIANS - SP,CEARA - CE,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,40,Arena do Grêmio,Porto Alegre,RS,Domingo,2018-05-06,19:00:00,GREMIO - RS,SANTOS - SP,5,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,33,Arena Condá,Chapeco,SC,Segunda,2018-05-07,20:00:00,CHAPECOENSE - SC,PARANA - PR,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,50,Arena do Grêmio,Porto Alegre,RS,Sábado,2018-05-12,16:00:00,GREMIO - RS,INTERNACIONAL - RS,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,41,Mineirão,Belo Horizonte,MG,Domingo,2018-05-13,11:00:00,CRUZEIRO - MG,SPORT - PE,2,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,42,Arena da Baixada,Curitiba,PR,Domingo,2018-05-13,16:00:00,ATLETICO - PR,ATLETICO - MG,1,2,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,43,Arena Condá,Chapeco,SC,Domingo,2018-05-13,16:00:00,CHAPECOENSE - SC,FLAMENGO - RJ,3,2,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,44,Arena Fonte Nova,Salvador,BA,Domingo,2018-05-13,16:00:00,BAHIA - BA,SAO PAULO - SP,2,2,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,45,São Januário,Rio de Janeiro,RJ,Domingo,2018-05-13,16:00:00,VASCO DA GAMA - RJ,VITORIA - BA,2,3,visitante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,48,Vila Belmiro,Santos,SP,Domingo,2018-05-13,19:00:00,SANTOS - SP,PARANA - PR,3,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,49,Arena Corinthians,Sao Paulo,SP,Domingo,2018-05-13,16:00:00,CORINTHIANS - SP,PALMEIRAS - SP,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,46,Nilton Santos,Rio de Janeiro,RJ,Segunda,2018-05-14,20:00:00,BOTAFOGO - RJ,FLUMINENSE - RJ,2,1,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,47,Arena Castelão,Fortaleza,CE,Segunda,2018-05-14,20:00:00,CEARA - CE,AMERICA - MG,2,2,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,51,Independência,Belo Horizonte,MG,Sábado,2018-05-19,16:00:00,ATLETICO - MG,CRUZEIRO - MG,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,56,Maracanã,Rio de Janeiro,RJ,Sábado,2018-05-19,19:00:00,FLAMENGO - RJ,VASCO DA GAMA - RJ,1,1,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,59,Allianz Parque,Sao Paulo,SP,Sábado,2018-05-19,21:00:00,PALMEIRAS - SP,BAHIA - BA,3,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,52,Durival Britto,Curitiba,PR,Domingo,2018-05-20,16:00:00,PARANA - PR,GREMIO - RS,0,0,empate,False,0,0,sem disputa de pênaltis
Brasileirao,2018,53,Independência,Belo Horizonte,MG,Domingo,2018-05-20,16:00:00,AMERICA - MG,BOTAFOGO - RJ,1,0,mandante,False,0,0,sem disputa de pênaltis
Brasileirao,2018,54,Manoel Barradas,Salvador,BA,Domingo,2018-05-20,11:00:00,VITORIA - BA,CEARA - CE,2,1,mandante,False,0,0,sem disputa de pênaltis
