competicao,temporada,id_partida,estadio,cidade,uf,dia_semana,data,hora,mandante,visitante,mand_placar,visit_placar,vencedor_regular,disputa_penaltis,mand_penaltis,visit_penaltis,vencedor_penaltis
Copa-do-Brasil,2014,1,José Olímpio,Aguia Branca,ES,Quarta,2014-02-19,20:30:00,REAL NOROESTE CAPIXABA - ES,RIO BRANCO - AC,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,2,Arena da Floresta,Rio Branco,AC,Quarta,2014-02-26,21:30:00,RIO BRANCO - AC,REAL NOROESTE CAPIXABA - ES,1,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,4,Antônio de Almeida,Tombos,MG,Quarta,2014-03-12,20:30:00,TOMBENSE - MG,TREZE - PB,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,5,Raimundo Ribeiro,Boa Vista,RR,Quarta,2014-03-12,21:30:00,NAUTICO - RR,PONTE PRETA - SP,1,4,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,9,Tibério Nunes,Floriano,PI,Quarta,2014-03-12,20:30:00,FLAMENGO - PI,ATLETICO - GO,0,1,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,10,Engenheiro Araripe,Cariacica,ES,Quarta,2014-03-12,20:30:00,DESPORTIVA - ES,ABC - RN,1,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,14,Waldeir de Oliveira,Goianesia,GO,Quarta,2014-03-12,20:30:00,GOIANESIA - GO,GREMIO BARUERI - SP,2,2,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,15,Portal da Amazônia,Vilhena,RO,Quarta,2014-03-12,19:30:00,VILHENA - RO,PALMEIRAS - SP,0,1,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,16,General Sampaio,Porto Nacional,TO,Quarta,2014-03-12,20:30:00,INTERPORTO - TO,SAMPAIO CORREA - MA,2,2,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,20,Adauto Moraes,Juazeiro,BA,Quarta,2014-03-12,20:30:00,JUAZEIRO - BA,TUPI - MG,0,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,21,Presidente Médici,Itabaiana,SE,Quarta,2014-03-12,20:30:00,SERGIPE - SE,NAUTICO - PE,1,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,24,19 de Outubro,Ijui,RS,Quarta,2014-03-12,20:30:00,SAO LUIZ - RS,NACIONAL - AM,2,2,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,31,Rei Pelé,Maceio,AL,Quarta,2014-03-12,22:00:00,CSA - AL,SAO PAULO - SP,0,1,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,39,Olímpico do Pará,Belem,PA,Quarta,2014-03-12,22:00:00,REMO - PA,INTERNACIONAL - RS,1,6,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,32,Luthero Lopes,Rondonopolis,MT,Quinta,2014-03-13,21:30:00,RONDONOPOLIS - MT,CRB - AL,2,2,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,35,Morenão,Campo Grande,MS,Quinta,2014-03-13,21:50:00,CENE - MS,CORITIBA - PR,2,2,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,7,ECO Estádio/Janguitão,Curitiba,PR,Quarta,2014-03-19,19:30:00,J MALUCELLI - PR,VITORIA - BA,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,13,Do Café,Londrina,PR,Quarta,2014-03-19,19:30:00,LONDRINA - PR,CRICIUMA - SC,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,23,Jóia da Princesa,Feira de Santana,BA,Quarta,2014-03-19,22:00:00,BAHIA DE FEIRA - BA,CORINTHIANS - SP,0,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,25,Castor Cifuentes,Nova Lima,MG,Quarta,2014-03-19,22:00:00,VILLA NOVA - MG,BAHIA - BA,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,6,Vila Euclides,,,Quinta,2014-03-20,19:30:00,SAO BERNARDO - SP,PARANA - PR,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,19,Horácio Domingos,Horizonte,CE,Quinta,2014-03-20,21:50:00,HORIZONTE - CE,FLUMINENSE - RJ,3,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,11,Arena Pantanal,Cuiaba,MT,Quarta,2014-04-02,22:00:00,MIXTO - MT,SANTOS - SP,0,0,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,17,Virotão,Navirai,MS,Quarta,2014-04-02,21:50:00,NAVIRAIENSE - MS,AVAI - SC,1,4,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,22,Eucy Resende,Saquarema,RJ,Quarta,2014-04-02,16:00:00,BOAVISTA - RJ,AMERICA - RN,1,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,26,Zerão,Macapa,AP,Quarta,2014-04-02,20:30:00,SANTOS - AP,AMERICA - MG,0,3,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,27,Almeidão,Joao Pessoa,PB,Quarta,2014-04-02,19:30:00,BOTAFOGO - PB,GOIAS - GO,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,29,Nogueirão,Mossoro,RN,Quarta,2014-04-02,19:30:00,POTIGUAR - RN,PORTUGUESA - SP,1,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,30,Olival Elias,Boca da Mata,AL,Quarta,2014-04-02,15:15:00,SANTA RITA - AL,GUARANI - SP,0,0,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,33,Arena da Floresta,Rio Branco,AC,Quarta,2014-04-02,21:30:00,PLACIDO DE CASTRO - AC,FIGUEIRENSE - SC,0,0,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,34,Arena Alviazul,Lajeado,RS,Quarta,2014-04-02,20:30:00,LAJEADENSE - RS,BRAGANTINO - SP,0,0,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,36,Ronaldão,Pocos de Caldas,MG,Quarta,2014-04-02,20:30:00,CALDENSE - MG,DUQUE DE CAXIAS - RJ,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,38,Nhozinho Santos,Sao Luis,MA,Quarta,2014-04-02,20:30:00,MARANHAO - MA,PAYSANDU - PA,2,2,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,40,Antônio Callou,Barbalha,CE,Quarta,2014-04-02,20:30:00,BARBALHA - CE,CUIABA - MT,0,0,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,50,Frasqueirão,Natal,RN,Quarta,2014-04-02,20:30:00,ABC - RN,DESPORTIVA - ES,4,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,55,Pacaembu,Sao Paulo,SP,Quarta,2014-04-02,22:00:00,PALMEIRAS - SP,VILHENA - RO,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,3,Arena da Amazônia,Manaus,AM,Quinta,2014-04-03,20:30:00,RESENDE - RJ,VASCO DA GAMA - RJ,0,0,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,18,Arena Verde,Paragominas,PA,Quinta,2014-04-03,19:00:00,PARAGOMINAS - PA,ASA - AL,0,4,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,42,Arena da Floresta,Rio Branco,AC,Terça,2014-04-08,21:30:00,RIO BRANCO - AC,CHAPECOENSE - SC,0,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,8,Estádio do Vale,Novo Hamburgo,RS,Quarta,2014-04-09,19:30:00,NOVO HAMBURGO - RS,JOINVILLE - SC,1,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,28,Presidente Médici,Itabaiana,SE,Quarta,2014-04-09,20:30:00,LAGARTO - SE,SANTA CRUZ - PE,0,1,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,44,Pres. Vargas/PB,Campina Grande,PB,Quarta,2014-04-09,20:30:00,TREZE - PB,TOMBENSE - MG,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,49,Serra Dourada,Goiania,GO,Quarta,2014-04-09,20:30:00,ATLETICO - GO,FLAMENGO - PI,2,2,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,54,Arena Barueri,Barueri,SP,Quarta,2014-04-09,20:30:00,GREMIO BARUERI - SP,GOIANESIA - GO,0,0,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,56,Castelão/MA,Sao Luis,MA,Quarta,2014-04-09,20:30:00,SAMPAIO CORREA - MA,INTERPORTO - TO,3,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,61,Arena Pernambuco,Sao Lourenco da Mata,PE,Quarta,2014-04-09,19:30:00,NAUTICO - PE,SERGIPE - SE,1,0,mandante,True,3,1,mandante
Copa-do-Brasil,2014,64,Arena da Amazônia,Manaus,AM,Quarta,2014-04-09,21:30:00,NACIONAL - AM,SAO LUIZ - RS,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,69,Canindé,Sao Paulo,SP,Quarta,2014-04-09,19:30:00,PORTUGUESA - SP,POTIGUAR - RN,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,70,Luiz Perissinotto,Paulinia,SP,Quarta,2014-04-09,15:00:00,GUARANI - SP,SANTA RITA - AL,1,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,71,Morumbi,Sao Paulo,SP,Quarta,2014-04-09,22:00:00,SAO PAULO - SP,CSA - AL,3,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,72,Rei Pelé,Maceio,AL,Quarta,2014-04-09,20:30:00,CRB - AL,RONDONOPOLIS - MT,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,73,Orlando Scarpelli,Florianopolis,SC,Quarta,2014-04-09,20:30:00,FIGUEIRENSE - SC,PLACIDO DE CASTRO - AC,3,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,74,Nabi Abi Chedid,Braganca Paulista,SP,Quarta,2014-04-09,20:30:00,BRAGANTINO - SP,LAJEADENSE - RS,1,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,46,Durival Britto,Curitiba,PR,Quinta,2014-04-10,19:30:00,PARANA - PR,SAO BERNARDO - SP,3,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,53,Heriberto Hulse,Criciuma,SC,Quinta,2014-04-10,19:30:00,CRICIUMA - SC,LONDRINA - PR,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,59,Maracanã,Rio de Janeiro,RJ,Quinta,2014-04-10,19:30:00,FLUMINENSE - RJ,HORIZONTE - CE,5,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,12,Roberto Simonsen,Manaus,AM,Quarta,2014-04-16,21:30:00,PRINCESA DO SOLIMOES - AM,BRASILIENSE - DF,3,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,43,São Januário,Rio de Janeiro,RJ,Quarta,2014-04-16,22:00:00,VASCO DA GAMA - RJ,RESENDE - RJ,1,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,51,Vila Belmiro,Santos,SP,Quarta,2014-04-16,22:00:00,SANTOS - SP,MIXTO - MT,3,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,67,Serra Dourada,Goiania,GO,Quarta,2014-04-16,22:00:00,GOIAS - GO,BOTAFOGO - PB,0,0,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,75,Couto Pereira,Curitiba,PR,Quarta,2014-04-16,19:30:00,CORITIBA - PR,CENE - MS,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,76,Los Larios,Duque de Caxias,RJ,Quarta,2014-04-16,20:30:00,DUQUE DE CAXIAS - RJ,CALDENSE - MG,2,2,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,78,Olímpico do Pará,Belem,PA,Quarta,2014-04-16,20:30:00,PAYSANDU - PA,MARANHAO - MA,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,80,Pres.Dutra,Cuiaba,MT,Quarta,2014-04-16,21:30:00,CUIABA - MT,BARBALHA - CE,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,48,Arena Joinville,Joinville,SC,Terça,2014-04-22,19:30:00,JOINVILLE - SC,NOVO HAMBURGO - RS,2,2,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,83,Durival Britto,Curitiba,PR,Terça,2014-04-22,19:30:00,PARANA - PR,PONTE PRETA - SP,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,52,Elmo Serejo Farias,Taguatinga,DF,Quarta,2014-04-23,20:30:00,BRASILIENSE - DF,PRINCESA DO SOLIMOES - AM,4,2,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,62,Arena das Dunas,Natal,RN,Quarta,2014-04-23,19:30:00,AMERICA - RN,BOAVISTA - RJ,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,85,Mário Helênio,Juiz de Fora,MG,Quarta,2014-04-23,22:00:00,TUPI - MG,FLUMINENSE - RJ,0,3,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,87,Rei Pelé,Maceio,AL,Quarta,2014-04-23,22:00:00,CRB - AL,SAO PAULO - SP,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,47,Pituaçu,Salvador,BA,Quinta,2014-04-24,19:30:00,VITORIA - BA,J MALUCELLI - PR,1,1,empate,True,3,5,visitante
Copa-do-Brasil,2014,96,Olival Elias,Boca da Mata,AL,Quinta,2014-04-24,15:15:00,SANTA RITA - AL,POTIGUAR - RN,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,41,Dirceu Arcoverde,Parnaiba,PI,Quarta,2014-04-30,22:00:00,PARNAHYBA - PI,CEARA - CE,0,1,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,65,Fonte Nova,Salvador,BA,Quarta,2014-04-30,19:30:00,BAHIA - BA,VILLA NOVA - MG,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,84,Ernani Sátyro,Campina Grande,PB,Quarta,2014-04-30,22:00:00,TREZE - PB,VASCO DA GAMA - RJ,1,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,93,Arena da Amazônia,Manaus,AM,Quarta,2014-04-30,22:00:00,NACIONAL - AM,CORINTHIANS - SP,0,3,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,99,Ronaldão,Pocos de Caldas,MG,Quarta,2014-04-30,19:30:00,CALDENSE - MG,CORITIBA - PR,0,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,37,Mané Garrincha,Brasilia,DF,Quinta,2014-05-01,21:50:00,BRASILIA - DF,SPORT - PE,1,3,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,88,Do Café,Londrina,PR,Quinta,2014-05-01,21:50:00,LONDRINA - PR,GREMIO BARUERI - SP,0,0,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,101,Arena Pantanal,Cuiaba,MT,Quinta,2014-05-01,19:30:00,CUIABA - MT,INTERNACIONAL - RS,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,117,Estádio do Vale,Novo Hamburgo,RS,Quinta,2014-05-01,16:00:00,NOVO HAMBURGO - RS,J MALUCELLI - PR,1,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,86,Moisés Lucarelli,Campinas,SP,Terça,2014-05-06,21:50:00,PONTE PRETA - SP,PARANA - PR,1,1,empate,True,8,7,mandante
Copa-do-Brasil,2014,92,Arena das Dunas,Natal,RN,Terça,2014-05-06,21:50:00,AMERICA - RN,NAUTICO - PE,3,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,68,Aflitos,Recife,PE,Quarta,2014-05-07,22:00:00,SANTA CRUZ - PE,LAGARTO - SE,3,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,81,Castelão,Fortaleza,CE,Quarta,2014-05-07,20:30:00,CEARA - CE,PARNAHYBA - PI,4,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,89,Castelão/MA,Sao Luis,MA,Quarta,2014-05-07,22:00:00,SAMPAIO CORREA - MA,PALMEIRAS - SP,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,90,Coaracy Fonseca,Arapiraca,AL,Quarta,2014-05-07,19:30:00,ASA - AL,AVAI - SC,3,2,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,91,Frasqueirão,Natal,RN,Quarta,2014-05-07,20:30:00,ABC - RN,ATLETICO - GO,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,94,Independência,Belo Horizonte,MG,Quarta,2014-05-07,22:00:00,AMERICA - MG,BAHIA - BA,0,0,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,98,Nabi Abi Chedid,Braganca Paulista,SP,Quarta,2014-05-07,19:30:00,BRAGANTINO - SP,FIGUEIRENSE - SC,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,102,Pacaembu,Sao Paulo,SP,Quarta,2014-05-07,22:00:00,SAO PAULO - SP,CRB - AL,3,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,105,São Januário,Rio de Janeiro,RJ,Quarta,2014-05-07,22:00:00,VASCO DA GAMA - RJ,TREZE - PB,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,118,ECO Estádio/Janguitão,Curitiba,PR,Quarta,2014-05-07,19:30:00,J MALUCELLI - PR,NOVO HAMBURGO - RS,0,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,97,Arena da Amazônia,Manaus,AM,Quinta,2014-05-08,21:50:00,PRINCESA DO SOLIMOES - AM,SANTOS - SP,1,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,103,Arena Barueri,Barueri,SP,Quinta,2014-05-08,19:30:00,GREMIO BARUERI - SP,LONDRINA - PR,3,3,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,104,Ressacada,Florianopolis,SC,Terça,2014-05-13,20:30:00,AVAI - SC,ASA - AL,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,112,Arena Pernambuco,Sao Lourenco da Mata,PE,Terça,2014-05-13,19:30:00,NAUTICO - PE,AMERICA - RN,2,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,106,Serra Dourada,Goiania,GO,Quarta,2014-05-14,20:30:00,ATLETICO - GO,ABC - RN,1,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,107,Fonte Nova,Salvador,BA,Quarta,2014-05-14,19:30:00,BAHIA - BA,AMERICA - MG,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,109,Pacaembu,Sao Paulo,SP,Quarta,2014-05-14,22:00:00,PALMEIRAS - SP,SAMPAIO CORREA - MA,3,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,110,Beira-Rio,Porto Alegre,RS,Quarta,2014-05-14,22:00:00,INTERNACIONAL - RS,CUIABA - MT,4,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,119,Almeidão,Joao Pessoa,PB,Quarta,2014-05-14,22:00:00,BOTAFOGO - PB,SANTA CRUZ - PE,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,120,Arena Condá,Chapeco,SC,Quarta,2014-05-14,19:30:00,CHAPECOENSE - SC,CEARA - CE,1,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,114,Vila Belmiro,Santos,SP,Quinta,2014-05-15,21:50:00,SANTOS - SP,PRINCESA DO SOLIMOES - AM,4,2,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,121,Olímpico do Pará,Belem,PA,Quinta,2014-05-15,19:30:00,PAYSANDU - PA,SPORT - PE,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,108,Orlando Scarpelli,Florianopolis,SC,Terça,2014-07-22,19:30:00,FIGUEIRENSE - SC,BRAGANTINO - SP,2,1,mandante,True,3,4,visitante
Copa-do-Brasil,2014,95,Presidente Vargas/CE,Fortaleza,CE,Quarta,2014-07-23,19:30:00,CEARA - CE,CHAPECOENSE - SC,1,1,empate,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,122,Arruda,Recife,PE,Quarta,2014-07-23,22:00:00,SANTA CRUZ - PE,BOTAFOGO - PB,2,1,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,123,Frasqueirão,Natal,RN,Quarta,2014-07-23,19:30:00,ABC - RN,NOVO HAMBURGO - RS,1,0,mandante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,124,Ressacada,Florianopolis,SC,Quarta,2014-07-23,19:30:00,AVAI - SC,PALMEIRAS - SP,0,2,visitante,False,0,0,sem disputa de pênaltis
Copa-do-Brasil,2014,125,Moisés Lucarelli,Campinas,SP,Quarta,2014-07-23,22:00:00,PONTE PRETA - SP,VASCO DA GAMA - RJ,0,2,visitante,False,0,0,sem disputa de pênaltis
