competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto
Brasileirao,2012,104,Beira-Rio,mandante,INTERNACIONAL - RS,pro,Elton,20.0
Brasileirao,2012,104,Beira-Rio,visitante,ATLETICO - GO,pro,Renie,27.0
Brasileirao,2012,104,Beira-Rio,mandante,INTERNACIONAL - RS,pro,Dagoberto,46.0
Brasileirao,2012,104,Beira-Rio,mandante,INTERNACIONAL - RS,pro,Jakson Avelino,58.0
Brasileirao,2012,104,Beira-Rio,mandante,INTERNACIONAL - RS,pro,Fred,76.0
Brasileirao,2012,117,Serra Dourada,mandante,ATLETICO - GO,pro,Wesley,16.0
Brasileirao,2012,117,Serra Dourada,visitante,SAO PAULO - SP,pro,João Schmidt,48.0
Brasileirao,2013,1,São Januário,mandante,VASCO DA GAMA - RJ,pro,Carlos,47.0
Brasileirao,2013,2,Cláudio Moacyr,mandante,FLUMINENSE - RJ,pro,Rafael Sobis,15.0
Brasileirao,2013,2,Cláudio Moacyr,visitante,ATLETICO - PR,pro,Manoel,27.0
Brasileirao,2013,2,Cláudio Moacyr,mandante,FLUMINENSE - RJ,pro,Samuel,53.0
Brasileirao,2013,3,Pacaembu,visitante,BOTAFOGO - RJ,pro,Rafael Marques,25.0
Brasileirao,2013,3,Pacaembu,mandante,CORINTHIANS - SP,pro,Paulinho,73.0
Brasileirao,2013,4,Fonte Nova,mandante,VITORIA - BA,pro,Max,2.0
Brasileirao,2013,4,Fonte Nova,mandante,VITORIA - BA,pro,Gabriel,11.0
Brasileirao,2013,4,Fonte Nova,visitante,INTERNACIONAL - RS,pro,Forlan,30.0
Brasileirao,2013,4,Fonte Nova,visitante,INTERNACIONAL - RS,pro,Fred,63.0
Brasileirao,2013,5,Alfredo Jaconi,mandante,GREMIO - RS,pro,Ze Roberto,15.0
Brasileirao,2013,5,Alfredo Jaconi,mandante,GREMIO - RS,pro,Elano,70.0
Brasileirao,2013,6,Moisés Lucarelli,visitante,SAO PAULO - SP,pro,Lucio,8.0
Brasileirao,2013,6,Moisés Lucarelli,visitante,SAO PAULO - SP,pro,Jadson,44.0
Brasileirao,2013,7,Heriberto Hulse,mandante,CRICIUMA - SC,pro,Matheus Ferraz,45.0
Brasileirao,2013,7,Heriberto Hulse,mandante,CRICIUMA - SC,pro,Lins,46.0
Brasileirao,2013,7,Heriberto Hulse,visitante,BAHIA - BA,pro,Diones,72.0
Brasileirao,2013,7,Heriberto Hulse,mandante,CRICIUMA - SC,pro,Joao Vitor,80.0
Brasileirao,2013,8,Independência,mandante,CRUZEIRO - MG,pro,Diego Souza,6.0
Brasileirao,2013,8,Independência,mandante,CRUZEIRO - MG,pro,Bruno Rodrigo,31.0
Brasileirao,2013,8,Independência,mandante,CRUZEIRO - MG,pro,Nilton,40.0
Brasileirao,2013,8,Independência,mandante,CRUZEIRO - MG,pro,Borges,42.0
Brasileirao,2013,8,Independência,mandante,CRUZEIRO - MG,pro,Nilton,80.0
Brasileirao,2013,9,Couto Pereira,visitante,ATLETICO - MG,pro,Diego Tardelli,49.0
Brasileirao,2013,9,Couto Pereira,mandante,CORITIBA - PR,pro,Deivid,53.0
Brasileirao,2013,9,Couto Pereira,mandante,CORITIBA - PR,pro,Arthur Caike,90.5
Brasileirao,2013,11,Raulino de Oliveira,mandante,BOTAFOGO - RJ,pro,Fellype Gabriel,14.0
Brasileirao,2013,11,Raulino de Oliveira,mandante,BOTAFOGO - RJ,pro,Rafael Marques,21.0
Brasileirao,2013,11,Raulino de Oliveira,visitante,SANTOS - SP,pro,Montillo,71.0
Brasileirao,2013,12,Mário Helênio,visitante,PONTE PRETA - SP,pro,William,26.0
Brasileirao,2013,12,Mário Helênio,visitante,PONTE PRETA - SP,pro,Cicinho,68.0
Brasileirao,2013,13,Morumbi,mandante,SAO PAULO - SP,pro,Luis Fabiano,60.0
Brasileirao,2013,13,Morumbi,mandante,SAO PAULO - SP,pro,Aloisio,64.0
Brasileirao,2013,13,Morumbi,mandante,SAO PAULO - SP,pro,Carleto,72.0
Brasileirao,2013,13,Morumbi,mandante,SAO PAULO - SP,pro,Luis Fabiano,74.0
Brasileirao,2013,13,Morumbi,visitante,VASCO DA GAMA - RJ,pro,Dakson,82.0
Brasileirao,2013,13,Morumbi,mandante,SAO PAULO - SP,contra,Luan Garcia,84.0
Brasileirao,2013,15,Centenário,mandante,INTERNACIONAL - RS,pro,Willians,13.0
Brasileirao,2013,15,Centenário,mandante,INTERNACIONAL - RS,pro,Moledo,16.0
Brasileirao,2013,16,Serra Dourada,mandante,GOIAS - GO,pro,Ernando,36.0
Brasileirao,2013,16,Serra Dourada,visitante,CORINTHIANS - SP,pro,Guilherme,86.0
Brasileirao,2013,17,Aflitos,visitante,VITORIA - BA,pro,Max,13.0
Brasileirao,2013,17,Aflitos,visitante,VITORIA - BA,pro,Edson,45.5
Brasileirao,2013,17,Aflitos,visitante,VITORIA - BA,pro,Max,49.0
Brasileirao,2013,18,Arena do Jacaré,mandante,ATLETICO - MG,pro,Ronaldinho Gaucho,59.0
Brasileirao,2013,18,Arena do Jacaré,mandante,ATLETICO - MG,pro,Ronaldinho Gaucho,90.5
Brasileirao,2013,19,Érton Queiroz,mandante,ATLETICO - PR,pro,Pedro Botelho,6.0
Brasileirao,2013,19,Érton Queiroz,mandante,ATLETICO - PR,pro,Manoel,28.0
Brasileirao,2013,19,Érton Queiroz,visitante,CRUZEIRO - MG,pro,Dedé,43.0
Brasileirao,2013,19,Érton Queiroz,visitante,CRUZEIRO - MG,pro,Luan,46.0
Brasileirao,2013,20,Canindé,mandante,PORTUGUESA - SP,pro,Souza,22.0
Brasileirao,2013,20,Canindé,visitante,FLUMINENSE - RJ,pro,Rafael Sobis,36.0
Brasileirao,2013,20,Canindé,mandante,PORTUGUESA - SP,pro,Diogo,83.0
Brasileirao,2013,21,Raulino de Oliveira,mandante,BOTAFOGO - RJ,pro,Lodeiro,6.0
Brasileirao,2013,21,Raulino de Oliveira,visitante,CRUZEIRO - MG,pro,Anselmo Ramon,25.0
Brasileirao,2013,21,Raulino de Oliveira,mandante,BOTAFOGO - RJ,pro,Lodeiro,56.0
Brasileirao,2013,22,Cláudio Moacyr,mandante,FLUMINENSE - RJ,pro,Digão,25.0
Brasileirao,2013,22,Cláudio Moacyr,mandante,FLUMINENSE - RJ,pro,Digão,33.0
Brasileirao,2013,22,Cláudio Moacyr,mandante,FLUMINENSE - RJ,pro,Wellington Nem,80.0
Brasileirao,2013,23,Pacaembu,mandante,CORINTHIANS - SP,pro,Emerson Sheik,73.0
Brasileirao,2013,24,Manoel Barradas,mandante,VITORIA - BA,pro,Dinei,31.0
Brasileirao,2013,24,Manoel Barradas,mandante,VITORIA - BA,pro,Dinei,59.0
Brasileirao,2013,25,Centenário,visitante,BAHIA - BA,pro,Ryder,10.0
Brasileirao,2013,25,Centenário,visitante,BAHIA - BA,pro,Fernandao,61.0
Brasileirao,2013,25,Centenário,mandante,INTERNACIONAL - RS,pro,Forlan,64.0
Brasileirao,2013,26,Serra Dourada,visitante,CORITIBA - PR,pro,Deivid,33.0
Brasileirao,2013,26,Serra Dourada,mandante,GOIAS - GO,pro,Hugo,75.0
Brasileirao,2013,27,Aflitos,mandante,NAUTICO - PE,pro,Rogerio,15.0
Brasileirao,2013,27,Aflitos,visitante,PORTUGUESA - SP,pro,Michel,31.0
Brasileirao,2013,27,Aflitos,visitante,PORTUGUESA - SP,pro,Romao,82.0
Brasileirao,2013,27,Aflitos,mandante,NAUTICO - PE,pro,Marcos Vinicius,90.5
Brasileirao,2013,29,Arena Joinville,mandante,ATLETICO - PR,pro,Ederson,32.0
Brasileirao,2013,29,Arena Joinville,mandante,ATLETICO - PR,pro,Ederson,72.0
