competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Copa-do-Brasil,2020,1,Albertão,mandante,RIVER - PI,pro,Jean Natal,42' (2ºT),87.0
Copa-do-Brasil,2020,4,Barão de Serra Negra,mandante,XV DE PIRACICABA - SP,pro,Samuel,11' (2ºT),56.0
Copa-do-Brasil,2020,5,Centenário,visitante,BOTAFOGO - RJ,pro,Pedro Raul,13' (1ºT),13.0
Copa-do-Brasil,2020,5,Centenário,mandante,CAXIAS - RS,pro,Carlos Alberto,18' (1ºT),18.0
Copa-do-Brasil,2020,6,14 de Dezembro,visitante,NAUTICO - PE,pro,Jean Carlos,14' (2ºT),59.0
Copa-do-Brasil,2020,6,14 de Dezembro,visitante,NAUTICO - PE,pro,Matheus Carvalho,24' (2ºT),69.0
Copa-do-Brasil,2020,7,Nilton Santos,visitante,PARANA - PR,pro,Thiago,32' (1ºT),32.0
Copa-do-Brasil,2020,7,Nilton Santos,visitante,PARANA - PR,pro,Thiago,24' (2ºT),69.0
Copa-do-Brasil,2020,8,Arena Cajueiro,mandante,BAHIA DE FEIRA - BA,pro,Deon,15' (1ºT),15.0
Copa-do-Brasil,2020,8,Arena Cajueiro,mandante,BAHIA DE FEIRA - BA,pro,Menezes,21' (2ºT),66.0
Copa-do-Brasil,2020,8,Arena Cajueiro,mandante,BAHIA DE FEIRA - BA,pro,Jarbas,26' (2ºT),71.0
Copa-do-Brasil,2020,8,Arena Cajueiro,visitante,LUVERDENSE - MT,pro,Kaue,40' (2ºT),85.0
Copa-do-Brasil,2020,9,Augusto Bauer,mandante,BRUSQUE - SC,pro,Edu,23' (1ºT),23.0
Copa-do-Brasil,2020,9,Augusto Bauer,visitante,SPORT - PE,pro,Leandro Barcia,35' (1ºT),35.0
Copa-do-Brasil,2020,9,Augusto Bauer,mandante,BRUSQUE - SC,pro,Ianson,37' (2ºT),82.0
Copa-do-Brasil,2020,10,Titão,mandante,FREI PAULISTANO - SE,pro,Luan,21' (1ºT),21.0
Copa-do-Brasil,2020,10,Titão,visitante,REMO - PA,pro,Fredson,35' (1ºT),35.0
Copa-do-Brasil,2020,10,Titão,visitante,REMO - PA,pro,Gustavo Ermel,25' (2ºT),70.0
Copa-do-Brasil,2020,11,Arena da Amazônia,mandante,MANAUS - AM,pro,Rossini,45' (1ºT),45.0
Copa-do-Brasil,2020,12,Valmir Bezerra,mandante,GAMA - DF,pro,Nunes,12' (1ºT),12.0
Copa-do-Brasil,2020,12,Valmir Bezerra,visitante,BRASIL - RS,pro,Wesley Pacheco,12' (1ºT),12.0
Copa-do-Brasil,2020,12,Valmir Bezerra,visitante,BRASIL - RS,pro,Simião,29' (1ºT),29.0
Copa-do-Brasil,2020,12,Valmir Bezerra,mandante,GAMA - DF,pro,Lucas,31' (1ºT),31.0
Copa-do-Brasil,2020,12,Valmir Bezerra,visitante,BRASIL - RS,pro,Poveda,16' (2ºT),61.0
Copa-do-Brasil,2020,12,Valmir Bezerra,mandante,GAMA - DF,pro,Michel,40' (2ºT),85.0
Copa-do-Brasil,2020,13,Canarinho,mandante,SAO RAIMUNDO - RR,pro,Edson,25' (1ºT),25.0
Copa-do-Brasil,2020,13,Canarinho,visitante,CRUZEIRO - MG,pro,Edu,34' (1ºT),34.0
Copa-do-Brasil,2020,13,Canarinho,visitante,CRUZEIRO - MG,pro,Alexandre Jesus,4' (2ºT),49.0
Copa-do-Brasil,2020,13,Canarinho,mandante,SAO RAIMUNDO - RR,pro,Stanley,20' (2ºT),65.0
Copa-do-Brasil,2020,14,Portal da Amazônia,visitante,BOA - MG,pro,Anderson,29' (1ºT),29.0
Copa-do-Brasil,2020,14,Portal da Amazônia,mandante,VILHENENSE - RO,pro,Ariel,28' (2ºT),73.0
Copa-do-Brasil,2020,15,Serra do Lago,visitante,PAYSANDU - PA,pro,Perema,3' (1ºT),3.0
Copa-do-Brasil,2020,15,Serra do Lago,mandante,BRASILIENSE - DF,pro,Marcos Aurelio,7' (2ºT),52.0
Copa-do-Brasil,2020,16,Baenão,mandante,INDEPENDENTE - PA,pro,Leandro Cabecinha,2' (1ºT),2.0
Copa-do-Brasil,2020,16,Baenão,visitante,CRB - AL,pro,Rafael Longuine,5' (1ºT),5.0
Copa-do-Brasil,2020,16,Baenão,visitante,CRB - AL,pro,Leo Gamalho,13' (1ºT),13.0
Copa-do-Brasil,2020,16,Baenão,visitante,CRB - AL,pro,Rafael Longuine,1' (2ºT),46.0
Copa-do-Brasil,2020,16,Baenão,mandante,INDEPENDENTE - PA,pro,Leandro Cabecinha,45+3' (2ºT),90.5
Copa-do-Brasil,2020,17,Castelão,mandante,MOTO CLUB - MA,pro,Walace,1' (1ºT),1.0
Copa-do-Brasil,2020,17,Castelão,mandante,MOTO CLUB - MA,pro,Jeorge,11' (1ºT),11.0
Copa-do-Brasil,2020,17,Castelão,visitante,FLUMINENSE - RJ,pro,Nene,16' (1ºT),16.0
Copa-do-Brasil,2020,17,Castelão,visitante,FLUMINENSE - RJ,pro,Nene,3' (2ºT),48.0
Copa-do-Brasil,2020,17,Castelão,visitante,FLUMINENSE - RJ,pro,Nino,27' (2ºT),72.0
Copa-do-Brasil,2020,17,Castelão,visitante,FLUMINENSE - RJ,pro,Marcos Paulo,38' (2ºT),83.0
Copa-do-Brasil,2020,19,Jorge de Biasi,mandante,NOVORIZONTINO - SP,pro,Thiago Ribeiro,14' (1ºT),14.0
Copa-do-Brasil,2020,19,Jorge de Biasi,visitante,FIGUEIRENSE - SC,pro,Alemao,17' (2ºT),62.0
Copa-do-Brasil,2020,19,Jorge de Biasi,visitante,FIGUEIRENSE - SC,pro,Diego,25' (2ºT),70.0
Copa-do-Brasil,2020,20,Salvador Costa,visitante,CSA - AL,pro,Allano,21' (1ºT),21.0
Copa-do-Brasil,2020,20,Salvador Costa,mandante,VITORIA - ES,pro,Cassio,43' (1ºT),43.0
Copa-do-Brasil,2020,20,Salvador Costa,mandante,VITORIA - ES,pro,Eder Luciano,5' (2ºT),50.0
Copa-do-Brasil,2020,21,Elcyr Resende,visitante,CHAPECOENSE - SC,pro,Aylon,41' (1ºT),41.0
Copa-do-Brasil,2020,21,Elcyr Resende,visitante,CHAPECOENSE - SC,pro,Vinicius,13' (2ºT),58.0
Copa-do-Brasil,2020,22,Raimundão,mandante,CAUCAIA - CE,pro,Jacare,10' (2ºT),55.0
Copa-do-Brasil,2020,22,Raimundão,visitante,SAO JOSE - RS,pro,Alexandre,30' (2ºT),75.0
Copa-do-Brasil,2020,22,Raimundão,visitante,SAO JOSE - RS,pro,Matheusinho,42' (2ºT),87.0
Copa-do-Brasil,2020,23,Luthero Lopes,visitante,ATLETICO - GO,pro,Matheus Bossa,4' (2ºT),49.0
Copa-do-Brasil,2020,26,Albano Franco,mandante,LAGARTO - SE,pro,Sapé,16' (2ºT),61.0
Copa-do-Brasil,2020,27,Diogão,visitante,CEARA - CE,pro,Luiz,45+1' (1ºT),45.5
Copa-do-Brasil,2020,27,Diogão,mandante,BRAGANTINO - PA,pro,Adilson Canga,43' (2ºT),88.0
Copa-do-Brasil,2020,27,Diogão,visitante,CEARA - CE,pro,Bergson,45+5' (2ºT),90.5
Copa-do-Brasil,2020,28,Moça Bonita,mandante,BANGU - RJ,pro,Rodrigo,11' (1ºT),11.0
Copa-do-Brasil,2020,28,Moça Bonita,visitante,OESTE - SP,pro,Alyson Neves,6' (2ºT),51.0
Copa-do-Brasil,2020,30,Vianão,mandante,AFOGADOS - PE,pro,Diego Ceará,24' (1ºT),24.0
Copa-do-Brasil,2020,30,Vianão,mandante,AFOGADOS - PE,pro,Diego Ceará,40' (1ºT),40.0
Copa-do-Brasil,2020,30,Vianão,mandante,AFOGADOS - PE,pro,Douglas,29' (2ºT),74.0
Copa-do-Brasil,2020,31,Estádio do Vale,visitante,PONTE PRETA - SP,pro,João Paulo,2' (1ºT),2.0
Copa-do-Brasil,2020,31,Estádio do Vale,mandante,NOVO HAMBURGO - RS,pro,Alison,8' (2ºT),53.0
Copa-do-Brasil,2020,31,Estádio do Vale,visitante,PONTE PRETA - SP,pro,Roger,34' (2ºT),79.0
Copa-do-Brasil,2020,32,Arena Acreana,visitante,VILA NOVA - GO,pro,Adalberto,11' (2ºT),56.0
Copa-do-Brasil,2020,33,Albertão,mandante,ALTOS - PI,contra,Marrony,20' (1ºT),20.0
Copa-do-Brasil,2020,33,Albertão,visitante,VASCO DA GAMA - RJ,pro,German Cano,45+2' (1ºT),45.5
Copa-do-Brasil,2020,34,Noroeste,visitante,ABC - RN,pro,Igor Goularte,33' (2ºT),78.0
Copa-do-Brasil,2020,35,Arena da Amazônia,visitante,GOIAS - GO,pro,Bessa,8' (2ºT),53.0
Copa-do-Brasil,2020,35,Arena da Amazônia,visitante,GOIAS - GO,pro,Marcinho,43' (2ºT),88.0
Copa-do-Brasil,2020,36,Bruno José Daniel,mandante,SANTO ANDRE - SP,pro,Douglas Baggio,3' (1ºT),3.0
Copa-do-Brasil,2020,36,Bruno José Daniel,mandante,SANTO ANDRE - SP,pro,Ronaldo,25' (1ºT),25.0
Copa-do-Brasil,2020,36,Bruno José Daniel,mandante,SANTO ANDRE - SP,pro,Branquinho,3' (2ºT),48.0
Copa-do-Brasil,2020,36,Bruno José Daniel,mandante,SANTO ANDRE - SP,pro,Branquinho,14' (2ºT),59.0
Copa-do-Brasil,2020,36,Bruno José Daniel,visitante,CRICIUMA - SC,pro,Andrew,42' (2ºT),87.0
Copa-do-Brasil,2020,37,Zerão,visitante,AMERICA - MG,pro,Rodolfo,17' (1ºT),17.0
Copa-do-Brasil,2020,37,Zerão,mandante,SANTOS - AP,pro,Diego,36' (2ºT),81.0
Copa-do-Brasil,2020,38,Inaldão,visitante,OPERARIO - PR,pro,Rafael Bonfim,20' (1ºT),20.0
Copa-do-Brasil,2020,38,Inaldão,visitante,OPERARIO - PR,pro,Jefinho,4' (2ºT),49.0
Copa-do-Brasil,2020,38,Inaldão,visitante,OPERARIO - PR,pro,HECTOR,25' (2ºT),70.0
Copa-do-Brasil,2020,39,Fonte Luminosa,mandante,FERROVIARIA - SP,pro,Henan,20' (2ºT),65.0
Copa-do-Brasil,2020,39,Fonte Luminosa,mandante,FERROVIARIA - SP,pro,Hygor,25' (2ºT),70.0
Copa-do-Brasil,2020,40,Ninho D´águia,mandante,AGUIA NEGRA - MS,pro,Bahia,17' (1ºT),17.0
Copa-do-Brasil,2020,40,Ninho D´águia,mandante,AGUIA NEGRA - MS,contra,Paulo Sergio,38' (2ºT),83.0
Copa-do-Brasil,2020,40,Ninho D´águia,visitante,SAMPAIO CORREA - MA,pro,Gustavo,45+4' (2ºT),90.5
Copa-do-Brasil,2020,41,Salvador Costa,visitante,FIGUEIRENSE - SC,pro,Diego,45+3' (2ºT),90.5
Copa-do-Brasil,2020,42,Curuzu,visitante,CRB - AL,pro,Leo Gamalho,45' (1ºT),45.0
Copa-do-Brasil,2020,42,Curuzu,mandante,PAYSANDU - PA,pro,Caique Oliveira,45+2' (1ºT),45.5
Copa-do-Brasil,2020,43,Aflitos,mandante,NAUTICO - PE,pro,Jean Carlos,43' (1ºT),43.0
Copa-do-Brasil,2020,43,Aflitos,visitante,BOTAFOGO - RJ,pro,Bruno Nazario,23' (2ºT),68.0
Copa-do-Brasil,2020,44,Arena Barueri,visitante,CEARA - CE,pro,Leandro,7' (1ºT),7.0
Copa-do-Brasil,2020,44,Arena Barueri,mandante,OESTE - SP,pro,Lucas,44' (1ºT),44.0
Copa-do-Brasil,2020,45,Augusto Bauer,mandante,BRUSQUE - SC,pro,Thiago Alagoano,39' (1ºT),39.0
Copa-do-Brasil,2020,45,Augusto Bauer,mandante,BRUSQUE - SC,pro,Airton,13' (2ºT),58.0
Copa-do-Brasil,2020,45,Augusto Bauer,visitante,REMO - PA,pro,Giovane,25' (2ºT),70.0
Copa-do-Brasil,2020,45,Augusto Bauer,mandante,BRUSQUE - SC,contra,Neguete,31' (2ºT),76.0
Copa-do-Brasil,2020,45,Augusto Bauer,mandante,BRUSQUE - SC,pro,Edu,32' (2ºT),77.0
Copa-do-Brasil,2020,45,Augusto Bauer,mandante,BRUSQUE - SC,pro,Thiago Alagoano,45+2' (2ºT),90.5
Copa-do-Brasil,2020,46,Barão de Serra Negra,mandante,XV DE PIRACICABA - SP,pro,Daniel Costa,2' (2ºT),47.0
Copa-do-Brasil,2020,46,Barão de Serra Negra,visitante,JUVENTUDE - RS,pro,Eltinho,25' (2ºT),70.0
Copa-do-Brasil,2020,47,Durival Britto,visitante,BAHIA DE FEIRA - BA,pro,Leo Porto,14' (2ºT),59.0
Copa-do-Brasil,2020,47,Durival Britto,visitante,BAHIA DE FEIRA - BA,pro,Cazumba,23' (2ºT),68.0
Copa-do-Brasil,2020,47,Durival Britto,mandante,PARANA - PR,pro,Thales,45+1' (2ºT),90.5
Copa-do-Brasil,2020,47,Durival Britto,mandante,PARANA - PR,pro,Fabricio,45+3' (2ºT),90.5
Copa-do-Brasil,2020,47,Durival Britto,mandante,PARANA - PR,pro,Renan,45+7' (2ºT),90.5
Copa-do-Brasil,2020,48,Albertão,visitante,AMERICA - RN,pro,Dione,10' (1ºT),10.0
Copa-do-Brasil,2020,48,Albertão,mandante,RIVER - PI,pro,Valdo Bacabal,22' (2ºT),67.0
Copa-do-Brasil,2020,49,Fonte Luminosa,mandante,FERROVIARIA - SP,pro,Henan,8' (1ºT),8.0
